id,name,fixed acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,sulphates,alcohol,type,Taste,quality
578,Baga,8.8,0.49,2.8,0.083,111,0.9982,0.6,9.5,Red,Bitter,1
579,Xinomavro,8.8,0.49,2.9,0.085,110,0.9982,0.6,9.8,Port,Sweet,1
580,Negroamaro,10.6,0.49,2.2,0.063,40,0.9976,0.51,9.8,Red,Bitter,1
581,Falanghina,12.3,0.49,2.2,0.089,14,1.0002,0.44,9.6,White,Earthy,1
582,Pecorino,12.3,0.49,2.2,0.089,14,1.0002,0.44,9.6,Rose,Sweet,1
583,Loureiro,11.7,0.49,2.2,0.083,15,1,0.43,9.2,Rose,Sour,1
584,Godello,12,0.49,1.9,0.074,21,0.9976,0.66,9.9,Rose,Bitter,0
585,Trebbiano,11.8,0.49,3.4,0.093,80,1.0002,0.76,10.7,White,Sweet,0
586,Corvina,7.6,0.24,2.4,0.091,38,0.998,0.66,9.6,Rose,Sweet,0
587,Cortese,11.1,0.49,2.7,0.094,47,0.9986,1.02,10.6,Rose,Earthy,0
588,Barolo,7.3,,1.9,0.108,102,0.9967,0.59,9.3,Port,Bitter,1
589,Barbaresco,5,0.24,2,0.06,50,0.9917,0.74,14,Rose,Bitter,0
590,Valpolicella,10.2,0.49,2.6,0.059,13,0.9976,0.74,10.5,Rose,Sweet,1
591,Rosso di Montalcino,9,0.49,2.6,0.084,75,0.9987,0.57,9.7,Red,Sour,0
592,Franciacorta,6.6,0.49,1.7,0.07,149,0.9922,0.5,11.5,Port,Bitter,0
593,Chianti,9,0.49,2.6,0.084,75,0.9987,0.57,9.7,Port,Sour,1
594,Beaujolais,9.9,0.58,3.5,0.094,,1.0004,0.58,9,White,Sour,1
595,Soave,7.9,0.17,2.6,0.096,38,0.9978,0.53,9.5,Port,Bitter,1
596,Orvieto,8.9,0.41,7.9,0.086,109,0.9998,0.57,9.3,White,Sour,1
597,Cote-Rotie,12.4,0.51,2,0.059,24,0.9994,0.6,9.3,White,Sour,1
598,Chablis,11.9,0.58,1.9,0.071,18,0.998,0.63,10,Rose,Balanced,0
599,Pouilly-Fuisse,8.5,0.18,2.1,0.078,30,0.9967,0.48,9.8,Red,Sour,1
